score,wfo_id,wfo_full_name,wfo_check,specific_name
4,wfo-0000251816,Neuwiedia calanthoides Ridl.,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Neuwiedia/veratrifolia$Neuwiedia/calanthoides,Neuwiedia siamensis de Vogel
3,wfo-0000251817,Neuwiedia cucullata J.J.Sm.,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Neuwiedia/veratrifolia$Neuwiedia/cucullata,Neuwiedia siamensis de Vogel
2,wfo-0000251818,Neuwiedia curtisii Rolfe,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Neuwiedia/zollingeri/singapureana$Neuwiedia/curtisii,Neuwiedia siamensis de Vogel
1,wfo-0000251819,Neuwiedia elongata de Vogel,Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Neuwiedia/elongata,Neuwiedia siamensis de Vogel
2,wfo-0000470264,Polyspora axillaris (Roxb. ex Ker Gawl.) Sweet,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Theaceae/Polyspora/axillaris,Polyspora axillaris
1,wfo-1000048884,Polyspora axillaris Choisy,unplaced,Polyspora axillaris
2,wfo-0001142186,Schima wallichii (DC.) Choisy,unplaced,Schima wallichii (DC.) Korth
1,wfo-0001237310,Schima wallichii (DC.) Korth.,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Theaceae/Schima/wallichii,Schima wallichii (DC.) Korth
10,wfo-0000594973,Cephalotaxus mannii Hook.f.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Cephalotaxaceae/Cephalotaxus/mannii,Cephalotaxus manii
9,wfo-0000737153,Cephalotaxus mannii E.Pritz. ex Diels,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Taxaceae/Taxus/sumatrana$Cephalotaxus/mannii,Cephalotaxus manii
8,wfo-0000506752,Cephalotaxus mannii subsp. thailandensis (Silba) Silba,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Cephalotaxaceae/Cephalotaxus/mannii$Cephalotaxus/mannii/thailandensis,Cephalotaxus manii
7,wfo-0000594938,Cephalotaxus adpressa Beissn.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Taxaceae/Taxus/baccata$Cephalotaxus/adpressa,Cephalotaxus manii
6,wfo-0000594939,Cephalotaxus alpina (Li) L.K.Fu,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Cephalotaxaceae/Cephalotaxus/fortunei/alpina$Cephalotaxus/alpina,Cephalotaxus manii
5,wfo-0000594940,Cephalotaxus argotaenia (Hance) Pilg.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Taxaceae/Amentotaxus/argotaenia$Cephalotaxus/argotaenia,Cephalotaxus manii
4,wfo-0000594941,Cephalotaxus brevifolia Beissn.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Taxaceae/Taxus/baccata$Cephalotaxus/brevifolia,Cephalotaxus manii
3,wfo-0000594942,Cephalotaxus buergeri Miq.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Cephalotaxaceae/Cephalotaxus/harringtonii$Cephalotaxus/buergeri,Cephalotaxus manii
2,wfo-0000594943,Cephalotaxus celebica Warb.,Code/Plantae/Pteridobiotina/Pinophyta/Pinopsida/Cupressidae/Cupressales/Taxaceae/Taxus/sumatrana$Cephalotaxus/celebica,Cephalotaxus manii
1,wfo-0001356909,Cephalotaxus coriacea hort. ex Lavallée,unplaced,Cephalotaxus manii
3,wfo-0000741719,Smilax prolifera Roxb.,Code/Plantae/Pteridobiotina/Angiosperms/Liliales/Smilacaceae/Smilax/prolifera,Smilax prolifera
2,wfo-1000079856,Smilax prolifera Roxb. ex Wall.,unplaced,Smilax prolifera
1,wfo-1000079857,Smilax prolifera Roxb.,unplaced,Smilax prolifera
4,wfo-4000024004,Michelia T.Durand,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Alismataceae/Sagittaria$Michelia,Michelia sp.
3,wfo-4000024005,Michelia L.,Code/Plantae/Pteridobiotina/Angiosperms/Magnoliales/Magnoliaceae/Magnolia$Michelia,Michelia sp.
2,wfo-1200070596,Michelia Kuntze,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Lecythidaceae/Barringtonia$Michelia,Michelia sp.
1,wfo-1000064797,Michelia Adans.,Code/Plantae/Pteridobiotina/Angiosperms/Commelinales/Pontederiineae/Pontederiaceae/Pontederia/Pontederia$Michelia,Michelia sp.
2,wfo-0000454637,Talinum fruticosum (L.) Juss.,Code/Plantae/Pteridobiotina/Angiosperms/Caryophyllales/Talinaceae/Talinum/fruticosum,Talinum fruticosum
1,wfo-0000454638,Talinum fruticosum Macfad.,Code/Plantae/Pteridobiotina/Angiosperms/Caryophyllales/Talinaceae/Talinum/fruticosum$Talinum/fruticosum,Talinum fruticosum
10,wfo-0000707440,Goodenia koningsbergeri (Backer) Backer ex Bold.,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Goodeniaceae/Goodenia/koningsbergeri,Goodenia konigsbergeri (Backer) Backer ex Bold.
9,wfo-0000707437,Goodenia kakadu Carolin,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Goodeniaceae/Goodenia/kakadu,Goodenia konigsbergeri (Backer) Backer ex Bold.
8,wfo-0000707438,Goodenia katabudjar Cranfield & L.W.Sage,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Goodeniaceae/Goodenia/katabudjar,Goodenia konigsbergeri (Backer) Backer ex Bold.
7,wfo-0000707439,Goodenia kingiana Carolin,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Goodeniaceae/Goodenia/kingiana,Goodenia konigsbergeri (Backer) Backer ex Bold.
6,wfo-0000707441,Goodenia krauseana Carolin,Code/Plantae/Pteridobiotina/Angiosperms/Asterales/Goodeniaceae/Goodenia/krauseana,Goodenia konigsbergeri (Backer) Backer ex Bold.
5,wfo-3400001125,Goodenia sect. Amphichila DC.,unplaced,Goodenia konigsbergeri (Backer) Backer ex Bold.
4,wfo-2800003592,Goodenia ser. Borealis Carolin,unplaced,Goodenia konigsbergeri (Backer) Backer ex Bold.
3,wfo-3000002568,Goodenia subsect. Borealis Carolin,unplaced,Goodenia konigsbergeri (Backer) Backer ex Bold.
2,wfo-2800000340,Goodenia ser. Bracteolatae Benth.,unplaced,Goodenia konigsbergeri (Backer) Backer ex Bold.
1,wfo-3000000213,Goodenia subsect. Bracteolatae (Benth.) K.Krause,unplaced,Goodenia konigsbergeri (Backer) Backer ex Bold.
3,wfo-0000649364,Diospyros montana Roxb.,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ebenaceae/Diospyros/montana,Diospyros montana
2,wfo-0000649365,Diospyros montana B.Heyne ex A.DC.,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ebenaceae/Diospyros/melanoxylon/tupru$Diospyros/montana,Diospyros montana
1,wfo-0000649366,Diospyros montana Pancher & Sebert,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ebenaceae/Diospyros/samoensis$Diospyros/montana,Diospyros montana
2,wfo-0000649908,Diospyros undulata Wall. ex G.Don,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ebenaceae/Diospyros/undulata,Diospyros undulata Well. ex. G.Don.
1,wfo-0000649910,Diospyros undulata Hiern,Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Ebenaceae/Diospyros/virginiana$Diospyros/undulata,Diospyros undulata Well. ex. G.Don.
2,wfo-0000664024,Elaeocarpus angustifolius Blume,Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Elaeocarpaceae/Elaeocarpus/angustifolius,Elaeocarpus angustifolius
1,wfo-0000664025,Elaeocarpus angustifolius Wight,Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Elaeocarpaceae/Elaeocarpus/serratus$Elaeocarpus/angustifolius,Elaeocarpus angustifolius
2,wfo-0000664659,Elaeocarpus prunifolius (Müll.Berol.) Wall. ex Mast.,Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Elaeocarpaceae/Elaeocarpus/prunifolius,Elaeocarpus prunifolius Wall. ex C.Muell.
1,wfo-0000664660,Elaeocarpus prunifolius Schltr.,Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Elaeocarpaceae/Elaeocarpus/dognyensis$Elaeocarpus/prunifolius,Elaeocarpus prunifolius Wall. ex C.Muell.
10,wfo-0001140390,Ailanthus triphysus (Dennst.) Alston,Code/Plantae/Pteridobiotina/Angiosperms/Sapindales/Simaroubaceae/Ailanthus/triphysus,Ailanthus triphysa (Dennst.) Alston
9,wfo-3400009526,Ailanthus sect. Eupongelion Engl.,unplaced,Ailanthus triphysa (Dennst.) Alston
8,wfo-3500002478,Ailanthus subg. Pongelion Engl.,unplaced,Ailanthus triphysa (Dennst.) Alston
7,wfo-0000524599,Ailanthus altissima (Mill.) Swingle,Code/Plantae/Pteridobiotina/Angiosperms/Sapindales/Simaroubaceae/Ailanthus/altissima,Ailanthus triphysa (Dennst.) Alston
