species_url_clean,specific_name_clean,count_wfo
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07162,begonia pumilio irmsch.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07161,begonia pumila craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07160,begonia pteridiformis phutthai,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07159,begonia pseudosubperfoliata phutthai & m.hughes,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07158,begonia prolifera a.dc.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07157,begonia procridifolia wall. ex a.dc.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07156,begonia phutthaii m.hughes,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07155,begonia pengchingii phutthai & m.hughes,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07176,begonia vagans craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07177,begonia variabilis ridl.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07178,begonia venusta king,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07192,calophyllum sclerophyllum vesque,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07202,kayea kunstleri king,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07201,kayea ferruginea pierre,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07200,kayea elegans king,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07198,calophyllum touranense gagnep. ex p.f.stevens,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07197,calophyllum thorelii pierre,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07196,calophyllum teysmannii miq.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07195,calophyllum tetrapterum miq.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07194,calophyllum symingtonianum m.r.hend. & wyatt-sm.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07193,calophyllum soulattri burm.f.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07191,calophyllum rupicola ridl.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07179,begonia wrayi hemsl.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07190,calophyllum polyanthum wall. ex choisy,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07189,calophyllum pisiferum planch. & triana,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07188,calophyllum molle king,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07187,calophyllum macrocarpum hook.f.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07186,calophyllum inophyllum l.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07185,calophyllum dryobalanoides pierre,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07184,calophyllum depressinervosum m.r.hend. & wyatt-sm.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07183,calophyllum canum hook.f.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07182,calophyllum calaba l.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07321,smythea velutina (ridl.) s.p.bannejee & p.k.mukh.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07324,ventilago denticulata willd.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07448,ormosia robusta (roxb. ex wight) baker,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07385,cissus nodosa blume,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07417,tetrastigma jaichagunii c.l.li ex kochaiph. & trias-blasi,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07416,tetrastigma harmandii planch.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07415,tetrastigma erubescens planch.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07414,tetrastigma dubium (m.a.lawson) planch.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07413,tetrastigma delavayi gagnep.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07412,tetrastigma cruciatum craib & gagnep.,2
