volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,specific_name_clean,species_url_clean,wfo_id_o7,wfo_full_name,wfo_id_cand,wfo_full_name_cand,wfo_id_final,wfo_source,conflict_bkf_vs_o7,conflict_bkf_vs_cand,conflict_o7_vs_cand,any_conflict,wfo_full_name_final,scraped_name,scrape_status
10,Moraceae,4. Ficus,Ficus,4.0,SOE6. Ficus laevis Blume,This is currently accepted.,"NORTHERN: Chiang Mai, Chiang Rai, Nan, Tak; EASTERN: Nakhon Ratchasima; CENTRAL: Nakhon Nayok; SOUTH-EASTERN: Chon Buri, Chanthaburi; PENINSULAR: Trang, Narathiwat.","Sri Lanka, India, Sikkim, Burma, S China, Laos, Vietnam, Cambodia, Peninsular and Bornean Malaysia, Singapore, Indonesia (Sumatra, Java – type, Kalimantan).","Evergreen and dry evergreen forests, to 1,200 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04647,2025-10-20T02:07:29.744176+00:00,SOE6. Ficus laevis Blume,wfo-0000688969,soe6. ficus laevis blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04647,,,,,wfo-0000688969,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,FIC12. Ficus lamponga Miq.,This is currently accepted.,"NORTHERN: Chiang Mai, Lampang, Phrae, Phitsanulok; CENTRAL: Nakhon Nayok; SOUTH-EASTERN: Chon Buri; PENINSULAR: Chumphon, Surat Thani, Phangnga, Nakhon Si Thammarat, Satun, Songkhla, Yala.","India (NE, Andaman Islands), Sikkim (?), Burma, Laos, Vietnam, Cambodia, Peninsular and Bornean Malaysia, Singapore, Indonesia (Sumatra – type).","Mixed deciduous and evergreen forests, to ca 1,100 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04587,2025-10-20T02:07:32.941113+00:00,FIC12. Ficus lamponga Miq.,wfo-0000688982,fic12. ficus lamponga miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04587,,,,,wfo-0000688982,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,SYO7. Ficus lepicarpa Blume,This is currently accepted.,"SOUTH-WESTERN: Kanchanaburi; PENINSULAR: Ranong, Surat Thani, Phangnga, Krabi, Nakhon Si Thammarat, Trang, Songkhla, Pattani, Yala, Narathiwat.","Burma, Peninsular and Bornean Malaysia, Indonesia (type, Sumatra, Java, Kalimantan: Anambas and Natuna Islands, Sulawesi, Moluccas), the Philippines.","Evergreen forests, often along streams, to 1,100 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04630,2025-10-20T02:07:35.922052+00:00,SYO7. Ficus lepicarpa Blume,wfo-0000689047,syo7. ficus lepicarpa blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04630,,,,,wfo-0000689047,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,URO26. Ficus maclellandii King,This is currently accepted.,"NORTHERN: Chiang Mai, Phayao; SOUTH-WESTERN: Ratchaburi, Prachuap Khiri Khan; CENTRAL: Phra Nakhon Si Ayutthaya, Saraburi; SOUTH-EASTERN: Chon Buri; PENINSULAR: Ranong, Satun, Songkhla, Narathiwat.","Sikkim, Bhutan, NE India, Burma (type), S China (Yunnan), Laos, Vietnam, Peninsular Malaysia (Kedah).","Evergreen and mixed deciduous forests, secondary growths, to 1,000 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04688,2025-10-20T02:07:38.778035+00:00,URO26. Ficus maclellandii King,wfo-0000689161,uro26. ficus maclellandii king,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04688,,,,,wfo-0000689161,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,SYO8. Ficus malayana C.C.Berg & Chantaras.,This is currently accepted.,PENINSULAR: Narathiwat.,"Peninsular Malaysia (type), Borneo: Brunei, Kalimantan, Sabah, Sarawak.","Evergreen forests, at low altitudes.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04631,2025-10-20T02:07:41.657177+00:00,SYO8. Ficus malayana C.C.Berg & Chantaras.,wfo-0000509256,syo8. ficus malayana c.c.berg & chantaras.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04631,,,,,wfo-0000509256,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,URO27. Ficus microcarpa L.f.,This is currently accepted.,"NORTHERN: Mae Hong Son, Chiang Mai, Chiang Rai, Lampang, Phitsanulok, Nakhon Sawan; NORTH-EASTERN: Phetchabun, Khon Kaen; EASTERN: Chaiyaphum; SOUTH-WESTERN: Kanchanaburi, Ratchaburi, Prachuap Khiri Khan; CENTRAL: Lop Buri, Saraburi; SOUTH-EASTERN: Chon Buri, Chanthaburi; PENINSULAR: Ranong, Surat Thani, Krabi, Nakhon Si Thammarat, Trang, Satun, Songkhla, Narathiwat.","Sri Lanka, India, Sikkim, Bhutan, Bangladesh, Burma, S China, Vietnam, Cambodia, S Japan, Taiwan, Peninsular and Bornean Malaysia, Singapore, Brunei, Indonesia (Sumatra, Java – type, Kalimantan, Sulawesi, Lesser Sunda Islands, Moluccas, Papua), the Philippines, Papua New Guinea, Solomon Islands, Australia; also Bonin Islands, Christmas Island, Cocos Islands, Carolines (Palau and Truk Islands).","Evergreen, dry evergreen and mixed deciduous forests, also in secondary growths, along the beaches, on limestone, to 1,100 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04689,2025-10-20T02:07:44.994791+00:00,URO27. Ficus microcarpa L.f.,wfo-0000689298,uro27. ficus microcarpa l.f.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04689,,,,,wfo-0000689298,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,FIC13. Ficus mollissima Ridl.,This is currently accepted.,"PENINSULAR: Songkhla (Khao Nam Khang NP), Yala (Betong).",Peninsular Malaysia (type).,"Evergreen forests, at low altitudes.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04588,2025-10-20T02:07:47.952598+00:00,FIC13. Ficus mollissima Ridl.,wfo-0000689357,fic13. ficus mollissima ridl.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04588,,,,,wfo-0000689357,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,SYC7. Ficus montana Burm.f.,This is currently accepted.,"NORTHERN: Chiang Mai, Tak, Kamphaeng Phet; SOUTH-WESTERN: Kanchanaburi, Phetchaburi, Prachuap Khiri Khan; SOUTH-EASTERN: Chanthaburi; PENINSULAR: Phangnga, Krabi, Nakhon Si Thammarat, Phatthalung, Trang, Songkhla, Pattani.","India (NE?), Burma, Peninsular and Bornean Malaysia, Indonesia (Sumatra, Java – type, Lesser Sunda Islands (Bali), Papua?), the Philippines (Palawan), Papua New Guinea.","Evergreen and dry evergreen forests, edges and stream sides, to 1,300 m; sometimes rheophytic.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04611,2025-10-20T02:07:50.848257+00:00,SYC7. Ficus montana Burm.f.,wfo-0000689363,syc7. ficus montana burm.f.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04611,,,,,wfo-0000689363,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,FIC14. Ficus neriifolia Sm.,This is currently accepted.,NORTHERN: Chiang Mai.,"Pakistan, N India, Nepal (type), Bhutan, Sikkim, Burma, SW China (Yunnan, Xizang).","Montane evergreen forests, 2,300 m (outside Thailand 1,200–3,200 m).",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04589,2025-10-20T02:07:53.607170+00:00,FIC14. Ficus neriifolia Sm.,wfo-0000689436,fic14. ficus neriifolia sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04589,,,,,wfo-0000689436,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,SY09. Ficus obpyramidata King,This is currently accepted.,"PENINSULAR: Chumphon, Surat Thani, Nakhon Si Thammarat, Trang, Yala, Narathiwat.","Burma, Peninsular Malaysia (type).","Evergreen forests and secondary growths, at low altitudes.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04632,2025-10-20T02:07:59.135243+00:00,SY09. Ficus obpyramidata King,wfo-0000689498,sy09. ficus obpyramidata king,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04632,,,,,wfo-0000689498,bkf_original,False,False,False,False,,,
10,Moraceae,4. Ficus,Ficus,4.0,FIC15. Ficus oleifolia King,This is currently accepted.,e-Flora of Thailand,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Moraceae&volumeno=10,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ficus&tdcode=04570,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=04590,2025-10-20T02:08:01.955302+00:00,FIC15. Ficus oleifolia King,wfo-0000689528,fic15. ficus oleifolia king,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=04590,,,,,wfo-0000689528,bkf_original,False,False,False,False,,,
