specific_name,species_url,wfo_id
Campylospermum serratum,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00048,wfo-0000705577
Spiraea cantoniensis Lour.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00053,wfo-0001016819
Cotoneaster franchetii Bois,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00055,wfo-0001015046
Photinia nussia,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00069,
Photinia integrifolia Lindl.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00063,wfo-0000990555
Photinia stenophylla Hand.-Mazz.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00064,wfo-0001016168
Pourthiaea arguta,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00065,
Pourthiaea arguta,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00065,
Photinia integrifolia Lindl.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00063,wfo-0000990555
Photinia stenophylla Hand.-Mazz.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00064,wfo-0001016168
Eriobotrya japonica (Thunb.) Lindl.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00073,wfo-0000986002
Eriobotrya bengalensis (Roxb.) Hook.f.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00074,
Eriobotrya bengalensis,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00077,wfo-0001017659
Eriobotrya bengalensis (Roxb.) Hook.f.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00074,
Eriobotrya japonica (Thunb.) Lindl.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00073,wfo-0000986002
Eriobotrya bengalensis,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00077,wfo-0001017659
Rhaphiolepis indica (L.) Lindl. ex Ker,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00079,wfo-0001016273
Sorbus granulosa (Bertol.) Rehder,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00057,
Micromeles cuspidata,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00061,wfo-0000996758
Sorbus granulosa (Bertol.) Rehder,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00057,
Micromeles cuspidata,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00061,wfo-0000996758
Docynia indica (Wall.) Decne.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00083,wfo-0001003548
Pyrus pyrifolia,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00081,wfo-0001017269
Pyrus pyrifolia,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00081,wfo-0001017269
Rubus leucanthus Hance,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00085,wfo-0001002192
Rubus alpestris Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00092,wfo-0000990767
Rubus rosifolius,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00086,
Rubus sumatranus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00087,wfo-0001017833
Rubus niveus Thunb.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00088,wfo-0000995169
Rubus ellipticus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00089,
Rubus cochinchinensis Tratt.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00109,wfo-0001017951
Rubus elongatus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00093,wfo-0000988480
Rubus hastifolius H.Lév. & Vaniot,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00094,wfo-0000994330
Rubus xanthoneurus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00095,wfo-0000993850
Rubus pyrifolius Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00096,
Rubus tiliaceus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00097,wfo-0001000919
Rubus alceifolius Poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00098,wfo-0001018060
Rubus malvaceus Focke,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00099,wfo-0000999517
Rubus pluribracteatus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00100,wfo-0000995089
Rubus moluccanus L.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00101,wfo-0001018092
Rubus hasskarlii Miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00102,wfo-0000991305
Rubus rugosus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00103,wfo-0000983438
Rubus blepharoneurus Cardot,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00105,wfo-0000983441
Rubus viscidus Focke,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00106,wfo-0000996177
Rubus rufus Focke,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00107,wfo-0000995739
Rubus lasiotrichos,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00108,wfo-0000983328
,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=,
Rubus alceifolius Poir.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00098,wfo-0001018060
Rubus alpestris Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00092,wfo-0000990767
Rubus blepharoneurus Cardot,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00105,wfo-0000983441
Rubus cochinchinensis Tratt.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00109,wfo-0001017951
Rubus xanthoneurus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00095,wfo-0000993850
Rubus ellipticus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00089,
Rubus elongatus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00093,wfo-0000988480
Rubus hasskarlii Miq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00102,wfo-0000991305
Rubus hastifolius H.Lév. & Vaniot,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00094,wfo-0000994330
Rubus lasiotrichos,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00108,wfo-0000983328
Rubus leucanthus Hance,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00085,wfo-0001002192
Rubus malvaceus Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00099,wfo-0000999517
Rubus moluccanus L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00101,wfo-0001018092
Rubus pluribracteatus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00100,wfo-0000995089
Rubus niveus Thunb.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00088,wfo-0000995169
Rubus pyrifolius Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00096,
Rubus rufus Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00107,wfo-0000995739
Rubus rugosus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00103,wfo-0000983438
Rubus sumatranus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00087,wfo-0001017833
Rubus tiliaceus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00097,wfo-0001000919
Rubus viscidus Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00106,wfo-0000996177
Duchesnea indica (Andr.) Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00112,wfo-0001017370
Potentilla supina L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00114,wfo-0000991597
Agrimonia pilosa,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00116,wfo-0000993131
Rosa damascena Mill.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00118,wfo-0001014673
Rosa helenae Rehder & E.H.Wilson,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00119,wfo-0000983363
Rosa chinensis Jacq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00120,wfo-0001014372
Rosa banksiae W.T.Aiton,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00124,
Rosa clinophylla Thory,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00125,wfo-0000988442
Rosa banksiae W.T.Aiton,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00124,
Rosa chinensis Jacq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00120,wfo-0001014372
Rosa clinophylla Thory,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00125,wfo-0000988442
Rosa damascena Mill.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00118,wfo-0001014673
Rosa helenae Rehder & E.H.Wilson,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00119,wfo-0000983363
Rosa odorata (Andrews) Sweet,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00121,
Prunus cerasoides Buch.-Ham. ex D.Don,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00128,wfo-0001017427
Prunus persica (L.) Batsch,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00127,wfo-0001005418
Prunus undulata,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00129,wfo-0001017640
Prunus phaeosticta (Hance) Maxim.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00131,wfo-0001002050
Prunus javanica (Teijsm. & Binn.) Miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00130,wfo-0001017632
