wfo_id,scraped_name,scrape_status
wfo-0000582708,Camellia tenii Sealy,ok
wfo-0000720317,Heritiera littoralis Aiton,ok
wfo-0000953758,Erismanthus sinensis Oliv.,ok
wfo-0000931671,Croton mekongensis Gagnep.,ok
wfo-0001107402,Pteridium aquilinum (L.) Kuhn,ok
wfo-0000501294,Scurrula rhopalocarpa (Kurz) Danser,ok
wfo-0000567916,Boerhavia diffusa L.,ok
wfo-0001291033,Viburnum atrocyaneum C.B.Clarke,ok
wfo-0000371222,Mangifera caloneura Kurz,ok
wfo-0000420751,Fimbristylis falcata (Vahl) Kunth,ok
wfo-0000045425,Gynura integrifolia Gagnep.,ok
wfo-0001443979,"Millettia pyrrhocarpa Mattapha, F.Forest & Hawkins",ok
wfo-0000229780,Lithocarpus cantleyanus Rehder,ok
wfo-0000917276,Cylindrolobus marginatus (Rolfe) S.C.Chen & J.J.Wood,ok
wfo-0000414762,Eriocaulon xenopodion T.Koyama,ok
wfo-0000366693,Lagerstroemia speciosa (L.) Pers.,ok
wfo-0000451679,Microcos sinuata (Wall. ex Mast.) Burret,ok
wfo-0000389411,Dioscorea bulbifera L.,ok
wfo-0000356812,Knema pseudolaurina W.J.de Wilde,ok
wfo-0001297771,Ipomoea rubens Choisy,ok
wfo-0000157596,Argyreia ionantha (Kerr) Khunwasi & Traiperm,ok
wfo-0001056499,Smithia blanda Wall. ex Wight & Arn.,ok
wfo-0000435410,Swintonia floribunda Griff.,ok
wfo-0000227986,Liparis bootanensis Griff.,ok
wfo-0000558250,Bacopa floribunda (R.Br.) Wettst.,ok
wfo-0000404186,Eleocharis geniculata (L.) Roem. & Schult.,ok
wfo-0000931372,Croton kerrii Airy Shaw,ok
wfo-0000457911,Tetrastigma quadrangulum Gagnep. & Craib,ok
wfo-0000446270,Lepisanthes tetraphylla (Vahl) Radlk.,ok
wfo-0001125749,Pyrrosia angustata (Sw.) Ching,ok
wfo-0001039031,Ploiarium alternifolium (Szyszył.) Melch.,ok
wfo-0000926803,Crepidium aschistum (Seidenf.) Szlach.,ok
wfo-0000118630,Duhaldea rubricaulis (Wall. ex DC.) Anderb.,ok
wfo-0000203434,Tephrosia noctiflora Bojer ex Baker,ok
wfo-0000813747,Castanopsis ferox Spach,ok
wfo-0001107413,Pteris wallichiana J.Agardh,ok
wfo-0000199612,Crudia chrysantha (Pierre) K.Schum.,ok
wfo-0000926987,Crepidium perakense (Ridl.) Szlach.,ok
wfo-0000490749,Philydrum lanuginosum Banks ex Gaertn.,ok
wfo-0000645245,Dichapetalum helferianum (Kurz) Pierre,ok
wfo-0000155279,Argyreia mekongensis Gagnep. & Courchet,ok
wfo-0000374000,Mitreola petiolata (J.F.Gmel.) Torr. & A.Gray,ok
wfo-0000391584,Dioscorea kerrii Prain & Burkill,ok
wfo-0000853621,Chrysoglossum ornatum Blume,ok
wfo-0000961612,Euphorbia cyathophora Murray,ok
wfo-0000214070,Wisteria sinensis (Sims) DC.,ok
wfo-0001267603,Eupatorium doichangensis H.Koyama,ok
wfo-0000304880,Baccaurea macrocarpa (Miq.) Müll.Arg.,ok
wfo-0001125700,Thelypteris terminans (J.Sm. ex Hook.) Tagawa & K.Iwats.,ok
wfo-0000962913,Euphorbia lactea Haw.,ok
wfo-0000540626,Apium graveolens L.,ok
wfo-0000199720,Acacia pluricapitata Steud.,ok
wfo-0000402716,Eleocharis acutangula (Roxb.) Schult.,ok
wfo-0001332527,Pseudognaphalium adnatum (DC.) Y.S.Chen,ok
wfo-0000544877,Ardisia pedunculata H.R.Fletcher,ok
wfo-0000293080,Quercus saravanensis A.Camus,ok
wfo-0000552372,Aspidopterys hirsuta (Wall.) A.Juss.,ok
wfo-0000707635,Gordonia axillaris (Roxb. ex Ker Gawl.) Endl.,ok
wfo-0000328333,Trigonostemon murtonii Craib,ok
wfo-0000389062,Dioscorea arachidna Prain & Burkill,ok
wfo-0000157442,Rivea ornata (Roxb.) Choisy,ok
wfo-0000372644,Melanochyla bracteata King,ok
wfo-0001298061,Neuropeltis racemosa Wall.,ok
wfo-0000186994,Tephrosia vestita Vogel,ok
wfo-0000291701,Quercus lineata Blume,ok
wfo-0001280828,Dissochaeta divaricata (Willd.) G.Don,ok
wfo-0000214186,Caesalpinia bonduc (L.) Roxb.,ok
wfo-0001444210,Wisteriopsis reticulata (Benth.) J.Compton & Schrire,ok
wfo-0001107410,Pteris linearis Poir.,ok
wfo-0000664420,Elaeocarpus lanceifolius Roxb.,ok
wfo-0000550616,Artocarpus thailandicus C.C.Berg,ok
wfo-0000952351,Epipogium roseum (D.Don) Lindl.,ok
wfo-0000220954,Kerriodoxa elegans J.Dransf.,ok
wfo-0000270430,Phyllanthus albidiscus (Ridl.) Airy Shaw,ok
wfo-0000296387,Rhodomyrtus tomentosa (Aiton) Hassk.,ok
wfo-0001118606,Leucostegia immersa C.Presl,ok
wfo-0000234749,Mallotus subcuneatus (Gage) Airy Shaw,ok
wfo-0000689905,Ficus pubigera (Miq.) Wall. ex Brandis,ok
wfo-0000350022,Carex phyllocaula Nelmes,ok
wfo-0001142566,Triumfetta pilosa Roth,ok
wfo-0000273781,Pinanga riparia Ridl.,ok
wfo-0001124658,Microlepia firma Mett.; Kuhn,ok
wfo-0001124866,Oleandra musifolia (Blume) C.Presl,ok
wfo-0000368290,Cyperus babakan Steud.,ok
wfo-0000436658,Salacia korthalsiana Miq.,ok
wfo-0000509245,Ficus anserina (Corner) C.C.Berg,ok
wfo-0000567798,Tacca leontopetaloides (L.) Kuntze,ok
wfo-0001125623,Thelypteris cylindrothrix (Rosenst.) K.Iwats.,ok
wfo-0000717985,Helicia petiolaris Benn.,ok
wfo-0000181342,Flemingia grahamiana Wight & Arn.,ok
wfo-0000399604,Rorippa indica (L.) Hiern,ok
wfo-0000010343,Gynura procumbens (Lour.) Merr.,ok
wfo-0001123564,Tectaria fuscipes (Wall.) C.Chr.,ok
wfo-0000487715,Plantago arenaria Waldst. & Kit.,ok
wfo-0000478117,Plantago afra L.,ok
wfo-0000406139,Eleocharis spiralis (Rottb.) Roem. & Schult.,ok
wfo-0000279009,Plocoglottis quadrifolia J.J.Sm.,ok
wfo-0000238119,Maxburretia gracilis (Burret) J.Dransf.,ok
wfo-0000370828,Cyperus cuspidatus Kunth,ok
wfo-0000703444,Gisekia pharnaceoides L.,ok
wfo-0001239618,Polygala crotalarioides Buch.-Ham. ex DC.,ok
wfo-0000694767,Gardneria ovata Wall.,ok
wfo-0000446316,Lindernia junciformis (Bonati) T.Yamaz.,ok
wfo-0000451629,Microcos laurifolia (Hook.f. ex Mast.) Burret,ok
wfo-0000159403,Dissochaeta gracilis (Jack) Blume,ok
wfo-0000636139,Cyrtandromoea grandis Ridl.,ok
wfo-0000186313,Aganope thyrsiflora (Benth.) Polhill,ok
wfo-0000905170,Codiaeum variegatum (L.) A.Juss.,ok
wfo-0001333801,Derris glabra Sirich.,ok
wfo-0000406233,Eleocharis tetraquetra Nees,ok
wfo-0000943159,Allamanda cathartica L.,ok
wfo-0000877159,Cleistanthus papyraceus Airy Shaw,ok
wfo-0000475668,Pentace floribunda King,ok
wfo-0000293263,Quercus setulosa Hickel & A.Camus,ok
wfo-0001109469,Adiantum capillus-veneris L.,ok
wfo-0000216112,Anodendron nervosum Kerr,ok
wfo-0000632067,Cyclea laxiflora Miers,ok
wfo-0000666960,Embelia pulchella Mez,ok
wfo-0000158397,Dissochaeta stipularis (Blume) Backer ex Clausing,ok
wfo-0001107252,Colysis pothifolia (D.Don) C.Presl,ok
wfo-0001117733,Dicranopteris speciosa (Presl) Holttum,ok
wfo-0001122949,Drynaria propinqua (Wall. ex Mett.) J.Sm. ex Bedd.,ok
wfo-0001107227,Asplenium unilaterale Lam.,ok
wfo-0000295190,Rauvolfia sumatrana Jack,ok
wfo-0000213034,Bauhinia monandra Kurz,ok
wfo-0000252726,Oberonia dissitiflora Ridl.,ok
wfo-0000232834,Madhuca punctata H.R.Fletcher,ok
wfo-0000704316,Gluta renghas L.,ok
wfo-0000545320,Ardisia tuberculata Wall. ex A.DC.,ok
wfo-0000769518,Najas kingii Rendle,ok
wfo-0001085578,Maesa indica (Roxb.) Sweet,ok
