specific_name,species_url
Photinia stenophylla Hand.-Mazz.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00064
Eriobotrya japonica (Thunb.) Lindl.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00073
Eriobotrya bengalensis (Roxb.) Hook.f.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00074
Eriobotrya bengalensis,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00077
Eriobotrya bengalensis (Roxb.) Hook.f.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00074
Eriobotrya japonica (Thunb.) Lindl.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00073
Eriobotrya bengalensis,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00077
Rhaphiolepis indica (L.) Lindl. ex Ker,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00079
Sorbus granulosa (Bertol.) Rehder,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00057
Micromeles cuspidata,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00061
Sorbus granulosa (Bertol.) Rehder,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00057
Micromeles cuspidata,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00061
Docynia indica (Wall.) Decne.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00083
Pyrus pyrifolia,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00081
Pyrus pyrifolia,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00081
Rubus leucanthus Hance,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00085
Rubus alpestris Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00092
Rubus rosifolius,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00086
Rubus sumatranus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00087
Rubus niveus Thunb.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00088
Rubus ellipticus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00089
Rubus cochinchinensis Tratt.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00109
Rubus elongatus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00093
Rubus hastifolius H.Lév. & Vaniot,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00094
Rubus xanthoneurus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00095
Rubus pyrifolius Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00096
Rubus tiliaceus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00097
Rubus alceifolius Poir.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00098
Rubus malvaceus Focke,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00099
Rubus pluribracteatus,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00100
Rubus moluccanus L.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00101
Rubus hasskarlii Miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00102
Rubus rugosus Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00103
Rubus blepharoneurus Cardot,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00105
Rubus viscidus Focke,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00106
Rubus rufus Focke,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00107
Rubus lasiotrichos,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00108
,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=
Rubus alceifolius Poir.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00098
Rubus alpestris Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00092
Rubus blepharoneurus Cardot,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00105
Rubus cochinchinensis Tratt.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00109
Rubus xanthoneurus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00095
Rubus ellipticus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00089
Rubus elongatus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00093
Rubus hasskarlii Miq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00102
Rubus hastifolius H.Lév. & Vaniot,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00094
Rubus lasiotrichos,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00108
Rubus leucanthus Hance,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00085
Rubus malvaceus Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00099
Rubus moluccanus L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00101
Rubus pluribracteatus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00100
Rubus niveus Thunb.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00088
Rubus pyrifolius Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00096
Rubus rufus Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00107
Rubus rugosus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00103
Rubus sumatranus,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00087
Rubus tiliaceus Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00097
Rubus viscidus Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00106
Duchesnea indica (Andr.) Focke,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00112
Potentilla supina L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00114
Agrimonia pilosa,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00116
Rosa damascena Mill.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00118
Rosa helenae Rehder & E.H.Wilson,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00119
Rosa chinensis Jacq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00120
Rosa banksiae W.T.Aiton,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00124
Rosa clinophylla Thory,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00125
Rosa banksiae W.T.Aiton,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00124
Rosa chinensis Jacq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00120
Rosa clinophylla Thory,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00125
Rosa damascena Mill.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00118
Rosa helenae Rehder & E.H.Wilson,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00119
Rosa odorata (Andrews) Sweet,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00121
Prunus cerasoides Buch.-Ham. ex D.Don,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00128
Prunus persica (L.) Batsch,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00127
Prunus undulata,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00129
Prunus phaeosticta (Hance) Maxim.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00131
Prunus javanica (Teijsm. & Binn.) Miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00130
