volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,wfo_full_name,wfo_source
15,Rubiaceae,"52. Oxyceros, p.p.","Oxyceros, p.p.",52.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Oxyceros&tdcode=,,2025-10-20T22:56:23.355972+00:00,,,,unfilled
15,Rubiaceae,53. Tamilnadia,Tamilnadia,53.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tamilnadia&tdcode=,,2025-10-20T22:56:27.793041+00:00,,,,unfilled
15,Rubiaceae,49. Ceriscoides,Ceriscoides,49.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ceriscoides&tdcode=,,2025-10-20T22:56:32.059742+00:00,,,,unfilled
15,Rubiaceae,50. Dioecrescis,Dioecrescis,50.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Dioecrescis&tdcode=,,2025-10-20T22:56:36.488585+00:00,,,,unfilled
15,Rubiaceae,48. Catunaregam,Catunaregam,48.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Catunaregam&tdcode=,,2025-10-20T22:56:40.718621+00:00,,,,unfilled
15,Rubiaceae,46. Benkara,Benkara,46.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Benkara&tdcode=,,2025-10-20T22:56:44.962425+00:00,,,,unfilled
15,Rubiaceae,51. Meyna,Meyna,51.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Meyna&tdcode=,,2025-10-20T22:56:49.304340+00:00,,,,unfilled
15,Rubiaceae,"61. Psychotria, p.p.","Psychotria, p.p.",61.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Psychotria&tdcode=,,2025-10-20T22:56:53.597791+00:00,,,,unfilled
15,Rubiaceae,54. Mussaenda,Mussaenda,54.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Mussaenda&tdcode=,,2025-10-20T22:56:57.852772+00:00,,,,unfilled
15,Rubiaceae,55. Schizomussaenda,Schizomussaenda,55.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Schizomussaenda&tdcode=,,2025-10-20T22:57:02.118037+00:00,,,,unfilled
15,Rubiaceae,56. Aidia sect. Anomanthodia,Aidia sect. Anomanthodia,56.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Aidia&tdcode=,,2025-10-20T22:57:06.459348+00:00,,,,unfilled
15,Rubiaceae,57. Coelospermum,Coelospermum,57.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Coelospermum&tdcode=,,2025-10-20T22:57:10.722510+00:00,,,,unfilled
15,Rubiaceae,58. Coptosapelta,Coptosapelta,58.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Coptosapelta&tdcode=,,2025-10-20T22:57:14.948435+00:00,,,,unfilled
15,Rubiaceae,60. Paederia,Paederia,60.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Paederia&tdcode=,,2025-10-20T22:57:19.354728+00:00,,,,unfilled
15,Rubiaceae,64. Aphaenandra ( Mussaenda s.l. ),Aphaenandra ( Mussaenda s.l. ),64.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Aphaenandra&tdcode=,,2025-10-20T22:57:23.727179+00:00,,,,unfilled
15,Rubiaceae,"86. Pavetta, p.p.","Pavetta, p.p.",86.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pavetta&tdcode=,,2025-10-20T22:57:28.031848+00:00,,,,unfilled
15,Rubiaceae,71. Gaertnera,Gaertnera,71.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gaertnera&tdcode=,,2025-10-20T22:57:32.445104+00:00,,,,unfilled
15,Rubiaceae,63. Antirhea,Antirhea,63.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Antirhea&tdcode=,,2025-10-20T22:57:36.704121+00:00,,,,unfilled
15,Rubiaceae,100. Timonius,Timonius,100.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Timonius&tdcode=,,2025-10-20T22:57:40.962611+00:00,,,,unfilled
15,Rubiaceae,84. Morindopsis,Morindopsis,84.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Morindopsis&tdcode=,,2025-10-20T22:57:45.296051+00:00,,,,unfilled
