wfo_id,wfo_full_name,wfo_check,input_name_string
wfo-0000270150,Arisaema chumponense Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/chumponense,arisaema chumponense gagnep.
wfo-0000272863,Arisaema pattaniense Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/pattaniense,arisaema pattaniense gagnep.
wfo-0000273144,Arisaema prazeri Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/prazeri,arisaema prazeri hook.f.
wfo-0000269928,Arisaema barbatum Buchet,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/barbatum,arisaema barbatum buchet
wfo-0000273500,Arisaema roxburghii Kunth,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/roxburghii,arisaema roxburghii kunth
wfo-0000273876,Arisaema siamicum Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/siamicum,arisaema siamicum gagnep.
wfo-0000340649,Arisaema pachystachyum Hett. & Gusman,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/pachystachyum,arisaema pachystachyum hett. & gusman
wfo-0000340650,Arisaema sizemoreae Hett. & Gusman,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/sizemoreae,arisaema sizemoreae hett. & gusman
wfo-0000340645,Arisaema maxwellii Hett. & Gusman,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/maxwellii,arisaema maxwellii hett. & gusman
wfo-0000270275,Arisaema consanguineum Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/consanguineum,arisaema consanguineum schott
wfo-0000270826,Arisaema fimbriatum Mast.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/fimbriatum,arisaema fimbriatum mast.
wfo-0000275296,Arisaema yunnanense Buchet,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Arisaema/yunnanense,arisaema yunnanense buchet
wfo-0000933184,Cryptocoryne ciliata (Roxb.) Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/ciliata,cryptocoryne ciliata (roxb.) schott
