wfo_id,wfo_full_name,wfo_check,specific_name
wfo-0000583291,"Campylospermum serratum (Gaertn.) Bittrich & M.C.E.Amaral",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Ochnaceae/Ochnoideae/Campylospermum/serratum,"Campylospermum serratum"
wfo-0001016819,"Spiraea cantoniensis Lour.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Spiraea/cantoniensis,"Spiraea cantoniensis Lour."
wfo-0001015046,"Cotoneaster franchetii Bois",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Cotoneaster/franchetii,"Cotoneaster franchetii Bois"
wfo-0000995607,"Photinia nussia (Buch.-Ham. ex D.Don) Kalkman",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Stranvaesia/nussia$Photinia/nussia,"Photinia nussia"
wfo-0000990555,"Photinia integrifolia Lindl.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Photinia/integrifolia,"Photinia integrifolia Lindl."
wfo-0001016168,"Photinia stenophylla Hand.-Mazz.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Photinia/stenophylla,"Photinia stenophylla Hand.-Mazz."
wfo-0001016665,"Pourthiaea arguta (Wall. ex Lindl.) Decne.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Pourthiaea/arguta,"Pourthiaea arguta"
wfo-0000986002,"Eriobotrya japonica (Thunb.) Lindl.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Eriobotrya/japonica,"Eriobotrya japonica (Thunb.) Lindl."
,,"2 candidates found.","Eriobotrya bengalensis (Roxb.) Hook.f."
,,"2 candidates found.","Eriobotrya bengalensis"
,,"1 candidates found.","Rhaphiolepis indica (L.) Lindl. ex Ker"
wfo-0001016817,"Sorbus granulosa (Bertol.) Rehder",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Thomsonaria/granulosa$Sorbus/granulosa,"Sorbus granulosa (Bertol.) Rehder"
,,"2 candidates found.","Micromeles cuspidata"
wfo-0001003548,"Docynia indica (Colebr. ex Wall.) Decne.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Malus/indica$Docynia/indica,"Docynia indica (Wall.) Decne."
wfo-0001014308,"Pyrus pyrifolia (Burm.f.) Nakai",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Pyrus/pyrifolia,"Pyrus pyrifolia"
wfo-0001002192,"Rubus leucanthus Hance",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/leucanthus,"Rubus leucanthus Hance"
wfo-0001007416,"Rubus alpestris Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/alpestris,"Rubus alpestris Blume"
,,"3 candidates found.","Rubus rosifolius"
wfo-0001017830,"Rubus sumatranus Miq.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/sumatranus,"Rubus sumatranus"
wfo-0000995169,"Rubus niveus Thunb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/niveus,"Rubus niveus Thunb."
wfo-0001002128,"Rubus ellipticus Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/ellipticus,"Rubus ellipticus Sm."
wfo-0001017951,"Rubus cochinchinensis Tratt.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/cochinchinensis,"Rubus cochinchinensis Tratt."
wfo-0000988480,"Rubus elongatus Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/elongatus,"Rubus elongatus Sm."
wfo-0000994330,"Rubus hastifolius H.Lév. & Vaniot",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/hastifolius,"Rubus hastifolius H.Lév. & Vaniot"
wfo-0001015864,"Rubus xanthoneurus Focke",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/xanthoneurus,"Rubus xanthoneurus"
,,"2 candidates found.","Rubus pyrifolius Sm."
wfo-0001000919,"Rubus tiliaceus Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/tiliaceus,"Rubus tiliaceus Sm."
wfo-0001018060,"Rubus alceifolius Poir.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/alceifolius,"Rubus alceifolius Poir."
wfo-0000999517,"Rubus malvaceus Focke",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/malvaceus,"Rubus malvaceus Focke"
wfo-0001011073,"Rubus pluribracteatus L.T.Lu & Boufford",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/clinocephalus/clinocephalus$Rubus/pluribracteatus,"Rubus pluribracteatus"
wfo-0001018092,"Rubus moluccanus L.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/moluccanus,"Rubus moluccanus L."
wfo-0000991305,"Rubus hasskarlii Miq.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/hasskarlii,"Rubus hasskarlii Miq."
wfo-0000983438,"Rubus rugosus Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/rugosus,"Rubus rugosus Sm."
wfo-0000983441,"Rubus blepharoneurus Cardot",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/blepharoneurus,"Rubus blepharoneurus Cardot"
wfo-0000996177,"Rubus viscidus Focke",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/lambertianus/paykouangensis$Rubus/viscidus,"Rubus viscidus Focke"
wfo-0000995739,"Rubus rufus Focke",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/rufus,"Rubus rufus Focke"
wfo-0000994738,"Rubus lasiotrichos Focke",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rubus/lasiotrichos,"Rubus lasiotrichos"
,,"No candidates found",
,,"3 candidates found.","Duchesnea indica (Andr.) Focke"
wfo-0000991597,"Potentilla supina L.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Potentilla/supina,"Potentilla supina L."
,,"4 candidates found.","Agrimonia pilosa"
wfo-0001014673,"Rosa damascena Mill.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rosa/damascena,"Rosa damascena Mill."
wfo-0000983363,"Rosa helenae Rehder & E.H.Wilson",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rosa/helenae,"Rosa helenae Rehder & E.H.Wilson"
wfo-0001014372,"Rosa chinensis Jacq.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rosa/chinensis,"Rosa chinensis Jacq."
,,"3 candidates found.","Rosa banksiae W.T.Aiton"
wfo-0000988442,"Rosa clinophylla Thory",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rosa/clinophylla,"Rosa clinophylla Thory"
wfo-0001014455,"Rosa × odorata (Andrews) Sweet",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Rosa/odorata,"Rosa odorata (Andrews) Sweet"
wfo-0001017427,"Prunus cerasoides Buch.-Ham. ex D.Don",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/cerasoides,"Prunus cerasoides Buch.-Ham. ex D.Don"
wfo-0001005418,"Prunus persica (L.) Batsch",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/persica,"Prunus persica (L.) Batsch"
,,"2 candidates found.","Prunus undulata"
wfo-0001002050,"Prunus phaeosticta (Hance) Maxim.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/phaeosticta,"Prunus phaeosticta (Hance) Maxim."
wfo-0001017632,"Prunus javanica (Teijsm. & Binn.) Miq.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/javanica,"Prunus javanica (Teijsm. & Binn.) Miq."
wfo-0001018017,"Prunus ceylanica (Wight) Miq.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/ceylanica,"Prunus ceylanica (Wight) Miq."
wfo-0000995821,"Prunus arborea (Blume) Kalkman",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/arborea,"Prunus arborea (Blume) Kalkman"
wfo-0001005216,"Prunus grisea (Blume ex Müll.Berol.) Kalkman",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Rosaceae/Prunus/grisea,"Prunus grisea (Blume ex Müll.Berol.) Kalkman"
wfo-0000830291,"Chrysobalanus icaco L.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Chrysobalanaceae/Chrysobalanus/icaco,"Chrysobalanus icaco L."
wfo-0000822990,"Angelesia splendens Korth.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Chrysobalanaceae/Angelesia/splendens,"Angelesia splendens"
wfo-0000817867,"Parastemon urophyllus (Wall. ex A.DC.) A.DC.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Chrysobalanaceae/Parastemon/urophyllus,"Parastemon urophyllus (Wall. ex A.DC.) A.DC."
wfo-0000817702,"Parinari anamensis Hance",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Chrysobalanaceae/Parinari/anamensis,"Parinari anamensis Hance"
wfo-0000816420,"Maranthes corymbosa Blume",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Chrysobalanaceae/Maranthes/corymbosa,"Maranthes corymbosa Blume"
wfo-0000476523,"Platea latifolia Blume",Code/Plantae/Pteridobiotina/Angiosperms/Metteniusales/Metteniusaceae/Platea/latifolia,"Platea latifolia Blume"
wfo-0000373726,"Medusanthera gracilis (King) Sleumer",Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Stemonuraceae/Medusanthera/gracilis,"Medusanthera gracilis (King) Sleumer"
wfo-0000705406,"Gomphandra quadrifida (Blume) Sleumer",Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Stemonuraceae/Gomphandra/quadrifida,"Gomphandra quadrifida (Blume) Sleumer"
wfo-0000705420,"Gomphandra tetrandra (Wall.) Sleumer",Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Stemonuraceae/Gomphandra/tetrandra,"Gomphandra tetrandra (Wall.) Sleumer"
wfo-0000706711,"Gonocaryum lobbianum (Miers) Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Cardiopteridaceae/Gonocaryum/lobbianum,"Gonocaryum lobbianum (Miers) Kurz"
wfo-0000540853,"Apodytes dimidiata E.Mey. ex Arn.",Code/Plantae/Pteridobiotina/Angiosperms/Metteniusales/Metteniusaceae/Apodytes/dimidiata,"Apodytes dimidiata E.Mey. ex Arn."
wfo-0001423787,"Mappia nimmoniana (J.Graham) Byng & Stull",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Mappia/nimmoniana,"Mappia nimmoniana"
wfo-0000373821,"Mappia montana (Blume) Miers",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Mappia/montana,"Mappia montana"
wfo-0000465355,"Pittosporopsis kerrii Craib",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Pittosporopsis/kerrii,"Pittosporopsis kerrii Craib"
wfo-0000498751,"Stemonurus malaccensis (Mast.) Sleumer",Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Stemonuraceae/Stemonurus/malaccensis,"Stemonurus malaccensis (Mast.) Sleumer"
wfo-0000731861,"Iodes cirrhosa Turcz.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Iodes/cirrhosa,"Iodes cirrhosa Turcz."
wfo-0001228107,"Iodes vitiginea (Hance) Hemsl.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Iodes/vitiginea,"Iodes vitiginea (Hance) Hemsl."
wfo-0001067131,"Pyrenacantha volubilis Wight",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Pyrenacantha/volubilis,"Pyrenacantha volubilis Wight"
