wfo_id,wfo_full_name,wfo_check,specific_name
wfo-0001110732,"Ophioglossum costatum R.Br.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Ophioglossidae/Ophioglossales/Ophioglossaceae/Ophioglossoideae/Ophioglossum/costatum,"Ophioglossum costatum R.Br."
wfo-0001115188,"Ophioglossum gramineum Willd.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Ophioglossidae/Ophioglossales/Ophioglossaceae/Ophioglossoideae/Ophioglossum/gramineum,"Ophioglossum gramineum Willd."
wfo-0001109041,"Ophioglossum petiolatum Hook.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Ophioglossidae/Ophioglossales/Ophioglossaceae/Ophioglossoideae/Ophioglossum/petiolatum,"Ophioglossum petiolatum Hook."
wfo-0001107319,"Helminthostachys zeylanica (L.) Hook.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Ophioglossidae/Ophioglossales/Ophioglossaceae/Helminthostachyoideae/Helminthostachys/zeylanica,"Helminthostachys zeylanica (L.) Hook."
wfo-0001115231,"Botrychium lanuginosum Wall. ex Hook. & Grev.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Ophioglossidae/Ophioglossales/Ophioglossaceae/Botrychioideae/Japanobotrychium/lanuginosum$Botrychium/lanuginosum,"Botrychium lanuginosum Wall. ex Hook. & Grev."
wfo-0001117730,"Christensenia aesculifolia (Blume) Maxon",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Marattiidae/Marattiales/Marattiaceae/Christensenia/aesculifolia,"Christensenia aesculifolia (Blume) Maxon"
,,"1 candidates found.","Angiopteris evecta (G.Forst.) Hoffm."
wfo-0001032934,"Ptisana sambucina (Blume) Murdock",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Marattiidae/Marattiales/Marattiaceae/Ptisana/sambucina,"Ptisana sambucina"
wfo-0001113307,"Osmundastrum cinnamomeum (L.) C.Presl",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Osmundales/Osmundaceae/Osmundastrum/cinnamomeum,"Osmundastrum cinnamomeum"
wfo-0001118110,"Osmunda angustifolia Ching",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Osmundales/Osmundaceae/Plenasium/angustifolium$Osmunda/angustifolia,"Osmunda angustifolia Ching"
wfo-0001115307,"Osmunda vachellii Hook.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Osmundales/Osmundaceae/Plenasium/vachellii$Osmunda/vachellii,"Osmunda vachellii Hook."
wfo-0001124389,"Plagiogyria adnata (Blume) Bedd.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Plagiogyriaceae/Plagiogyria/adnata,"Plagiogyria adnata (Blume) Bedd."
wfo-0001124395,"Plagiogyria pycnophylla (Kunze) Mett.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Plagiogyriaceae/Plagiogyria/pycnophylla,"Plagiogyria pycnophylla"
wfo-0001124196,"Sticherus truncatus (Willd.) Nakai",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Sticherus/truncatus,"Sticherus truncatus"
wfo-0001220327,"Gleichenia microphylla R.Br.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Gleichenia/microphylla,"Gleichenia microphylla R.Br."
wfo-0001124225,"Diplopterygium longissimum (Blume) Nakai",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Diplopterygium/longissimum,"Diplopterygium longissimum"
wfo-0001124227,"Diplopterygium norrisii (Mett. ex Kuhn) Nakai",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Diplopterygium/norrisii,"Diplopterygium norrisii"
wfo-0001124202,"Diplopterygium blotianum (C.Chr.) Nakai",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Diplopterygium/blotianum,"Diplopterygium blotianum"
wfo-0001254565,"Dicranopteris curranii Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Dicranopteris/curranii,"Dicranopteris curranii Copel."
wfo-0001124457,"Dicranopteris splendida (Hand.-Mazz.) Tagawa",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Gleicheniales/Gleicheniaceae/Dicranopteris/splendida,"Dicranopteris splendida (Hand.-Mazz.) Tagawa"
,,"1 candidates found.","Dicranopteris speciosa (C.Presl) Holttum"
,,"1 candidates found.","Dicranopteris linearis (Burm.f.) Undrew."
wfo-0001107476,"Schizaea dichotoma (L.) Sm.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Schizaeaceae/Schizaea/dichotoma,"Schizaea dichotoma (L.) Sm."
,,"2 candidates found.","Actinostachys digitata"
wfo-1200067801,"Lygodium polystachyum Wall. ex T.Moore",unplaced,"Lygodium polystachyum Wall. ex T.Moore"
wfo-0001109621,"Lygodium microphyllum (Cav.) R.Br.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Lygodiaceae/Lygodium/microphyllum,"Lygodium microphyllum (Cav.) R.Br."
wfo-0000748052,"Lygodium japonicum (Thunb.) Sw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Lygodiaceae/Lygodium/japonicum,"Lygodium japonicum (Thunb.) Sw."
wfo-0001124449,"Lygodium salicifolium C.Presl",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Lygodiaceae/Lygodium/salicifolium,"Lygodium salicifolium C.Presl"
wfo-0001115286,"Lygodium flexuosum (L.) Sw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Lygodiaceae/Lygodium/flexuosum,"Lygodium flexuosum (L.) Sw."
wfo-0001124444,"Lygodium yunnanense Ching",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Lygodiaceae/Lygodium/yunnanense,"Lygodium yunnanense"
wfo-1000064270,"Lygodium circinnatum (Burm.f.) Sw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Schizaeales/Lygodiaceae/Lygodium/circinnatum,"Lygodium circinnatum (Burm.f.) Sw."
wfo-0001117767,"Hymenophyllum exsertum Wall. ex Hook.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/exsertum,"Hymenophyllum exsertum"
,,"2 candidates found.","Hymenophyllum badium"
,,"2 candidates found.","Hymenophyllum polyanthos"
,,"3 candidates found.","Hymenophyllum productum"
wfo-0001124401,"Hymenophyllum javanicum Spreng.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/javanicum,"Hymenophyllum javanicum"
wfo-0001116554,"Hymenophyllum riukiuense Christ",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/riukiuense,"Hymenophyllum riukiuense"
wfo-0001116524,"Hymenophyllum barbatum (Bosch) Baker",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/barbatum,"Hymenophyllum barbatum (Bosch) Baker"
wfo-0000146060,"Hymenophyllum serrulatum (C.Presl) C.Chr.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/serrulatum,"Hymenophyllum serrulatum"
wfo-0000145827,"Hymenophyllum bontocense Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/bontocense,"Hymenophyllum bontocense"
wfo-0001124409,"Hymenophyllum holochilum (Bosch) C.Chr.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/holochilum,"Hymenophyllum holochilum"
wfo-0001116556,"Hymenophyllum denticulatum Sw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/denticulatum,"Hymenophyllum denticulatum"
wfo-0001124420,"Hymenophyllum acanthoides Rosenst.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/acanthoides,"Hymenophyllum acanthoides"
wfo-0001126774,"Hymenophyllum blandum Racib.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/blandum,"Hymenophyllum blandum"
wfo-0000145986,"Hymenophyllum pallidum (Blume) Ebihara & K.Iwats.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/pallidum,"Hymenophyllum pallidum"
,,"No candidates found",—
wfo-0001042545,"Hymenophyllum digitatum (Sw.) Fosberg",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Hymenophylloideae/Hymenophyllum/digitatum,"Hymenophyllum digitatum"
wfo-0001226953,"Crepidomanes minutum (Blume) K.Iwats.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/parvulum$Crepidomanes/minutum,"Crepidomanes minutum"
wfo-0001226953,"Crepidomanes minutum (Blume) K.Iwats.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/parvulum$Crepidomanes/minutum,"Crepidomanes minutum"
wfo-0001226953,"Crepidomanes minutum (Blume) K.Iwats.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/parvulum$Crepidomanes/minutum,"Crepidomanes minutum"
wfo-0001107445,"Vandenboschia auriculata (Blume) Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Vandenboschia/auriculata,"Vandenboschia auriculata"
wfo-0001117514,"Vandenboschia maxima (Blume) Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Vandenboschia/maxima,"Vandenboschia maxima"
wfo-0001118119,"Vandenboschia birmanica (Bedd.) Ching",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Vandenboschia/birmanica,"Vandenboschia birmanica"
,,"2 candidates found.","Trichomanes javanicum"
wfo-0000146590,"Trichomanes parviflorum Poir.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Abrodictyum/parviflorum$Trichomanes/parviflorum,"Trichomanes parviflorum"
,,"3 candidates found.","Trichomanes gemmatum"
wfo-0001116571,"Trichomanes obscurum Blume",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Abrodictyum/obscurum$Trichomanes/obscurum,"Trichomanes obscurum"
wfo-0001116507,"Trichomanes apiifolium C.Presl",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Callistopteris/apiifolia$Trichomanes/apiifolium,"Trichomames apiifolium"
wfo-0000146472,"Trichomanes exiguum (Bedd.) Baker",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Didymoglossum/exiguum$Trichomanes/exiguum,"Trichomanes exiguum"
,,"2 candidates found.","Trichomanes christii"
wfo-0001124437,"Trichomanes latealatum Christ",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/latealatum$Trichomanes/latealatum,"Trichomanes latealatum"
wfo-0001126768,"Trichomanes bilabiatum Nees & Blume",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/bilabiatum$Trichomanes/bilabiatum,"Trichomanes bilabiatum"
,,"2 candidates found.","Trichomanes brevipes"
wfo-0001117492,"Trichomanes kurzii Bedd.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/kurzii$Trichomanes/kurzii,"Trichomanes kurzii"
wfo-0001107567,"Trichomanes bipunctatum Poir.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/bipunctatum$Trichomanes/bipunctatum,"Trichomanes bipunctatum"
wfo-0001116518,"Trichomanes latemarginale D.C.Eaton",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/latemarginale$Trichomanes/latemarginale,"Trichomanes latemarginale"
wfo-0000146553,"Trichomanes megistostomum Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/megistostomum$Trichomanes/megistostomum,"Trichomanes megistostomum"
wfo-0001226976,"Trichomanes parvifolium (Baker) Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/parvifolium$Trichomanes/parvifolium,"Trichomanes parvifolium"
wfo-0001124426,"Trichomanes motleyi (Bosch) Bosch",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Didymoglossum/motleyi$Trichomanes/motleyi,"Trichomanes motleyi"
wfo-0001125319,"Trichomanes sublimbatum Müll.Berol.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Didymoglossum/sublimbatum$Trichomanes/sublimbatum,"Trichomanes sublimbatum"
,,"2 candidates found.","Trichomanes bimarginatum"
wfo-0001256920,"Sphaeropteris glauca (Blume) R.M.Tryon",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Sphaeropteris/glauca,"Sphaeropteris glauca"
wfo-0001125271,"Alsophila costularis Baker",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Alsophila/costularis,"Alsophila costularis"
,,"2 candidates found.","Alsophila latebrosa"
wfo-0001126562,"Alsophila spinulosa (Hook.) R.M.Tryon",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Alsophila/spinulosa,"Alsophila spinulosa"
wfo-0000139530,"Alsophila borneensis (Copel.) R.M.Tryon",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Alsophila/borneensis,"Alsophila borneensis"
,,"2 candidates found.","Alsophila podophylla"
,,"2 candidates found.","Alsophila gigantea"
wfo-0000748037,"Cibotium barometz (L.) J.Sm.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cibotiaceae/Cibotium/barometz,"Cibotium barometz (L.) J.Sm."
,,"2 candidates found.","Hypolepis punctata (Thunb.) Mett. ex Kuhn"
wfo-0001422006,"Dennstaedtia zeylanica (Sw.) Zink ex Fraser-Jenk. & Kandel",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Sitobolium/zeylanicum$Dennstaedtia/zeylanica,"Dennstaedtia zeylanica"
,,"1 candidates found.","Microlepia hookeriana (Wall. ex Hook.) C.Presl"
wfo-0001107358,"Microlepia calvescens (Hook.) C.Presl",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/calvescens,"Microlepia calvescens (Wall. ex Hook.) C.Presl"
wfo-0001123275,"Microlepia matthewii Christ",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/matthewii,"Microlepia matthewii"
wfo-0001109170,"Microlepia strigosa (Thunb.) C.Presl",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/strigosa,"Microlepia strigosa (Thunb.) C.Presl"
wfo-0001124669,"Microlepia puberula Alderw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/puberula,"Microlepia puberula Alderw."
,,"1 candidates found.","Microlepia kurzii (C.B.Clarke) Bedd."
,,"1 candidates found.","Microlepia platyphylla (D.Don) J.Sm."
wfo-0000141268,"Microlepia ridleyi Copel.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/ridleyi,"Microlepia ridleyi Copel."
wfo-0001107361,"Microlepia speluncae (L.) T.Moore",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/speluncae,"Microlepia speluncae (L.) T.Moore"
,,"1 candidates found.","Microlepia firma Mett. ex Kuhn"
wfo-0000141255,"Microlepia pilosiuscula (Sm.) C.V.Morton",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/pilosiuscula,"Microlepia pilosiuscula"
,,"2 candidates found.","Microlepia rhomboidea"
wfo-0001107402,"Pteridium aquilinum (L.) Kuhn",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Hypolepidoideae/Pteridium/aquilinum,"Pteridium aquilinum (L.) Kuhn"
wfo-0001107320,"Histiopteris incisa (Thunb.) J.Sm.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Hypolepidoideae/Histiopteris/incisa,"Histiopteris incisa (Thunb.) J.Sm."
wfo-0001256899,"Lindsaea divergens Wall. ex Hook. & Grev.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/divergens,"Lindsaea divergens Wall. ex Hook. & Grev."
wfo-0001107701,"Lindsaea ensifolia Sw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/ensifolia,"Lindsaea ensifolia Sw."
wfo-0001107709,"Lindsaea heterophylla Dryand.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/heterophylla,"Lindsaea heterophylla Dryand."
wfo-0001107721,"Lindsaea orbiculata (Lam.) Mett. ex Kuhn",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/orbiculata,"Lindsaea orbiculata (Lam.) Mett. ex Kuhn"
,,"2 candidates found.","Lindsaea interrupta"
wfo-0001116581,"Lindsaea chienii Ching",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/chienii,"Lindsaea chienii Ching"
wfo-0001109912,"Lindsaea javanensis Blume",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/javanensis,"Lindsaea javanensis Blume"
wfo-0001256874,"Lindsaea doryphora K.U.Kramer",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/doryphora,"Lindsaea doryphora K.U.Kramer"
,,"1 candidates found.","Lindsaea integra Holttum."
wfo-0001256840,"Lindsaea malayensis Holttum",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/malayensis,"Lindsaea malayensis Holttum"
wfo-0001256841,"Lindsaea napaea Alderw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/napaea,"Lindsaea napaea Alderw."
wfo-0001107670,"Lindsaea cultrata (Willd.) Sw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/cultrata,"Lindsaea cultrata (Willd.) Sw."
,,"10 candidates found.","Lindsaea paralellogramma Alderw."
wfo-0000141333,"Osmolindsaea odorata (Roxb.) Lehtonen & Christenh.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Osmolindsaea/odorata,"Osmolindsaea odorata"
wfo-0001120196,"Lindsaea lucida Blume",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/lucida,"Lindsaea lucida Blume"
wfo-0000141290,"Nesolindsaea caudata (Hook.) Lehtonen & Christenh.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Nesolindsaea/caudata,"Nesolindsaea caudata"
,,"2 candidates found.","Lindsaea repens (Bory) Thwaites & Hook."
wfo-0001255205,"Lindsaea oblanceolata Alderw.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/oblanceolata,"Lindsaea oblanceolata Alderw."
wfo-0001107431,"Tapeinidium pinnatum (Cav.) C.Chr.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Tapeinidium/pinnatum,"Tapeinidium pinnatum (Cav.) C.Chr."
wfo-0001256788,"Tapeinidium luzonicum (Hook.) K.U.Kramer",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Tapeinidium/luzonicum,"Tapeinidium luzonicum (Hook.) K.U.Kramer"
wfo-0001115010,"Odontosoria chinensis (L.) J.Sm.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Odontosoria/chinensis,"Odontosoria chinensis"
wfo-0001035948,"Leucostegia truncata (D.Don) Fraser-Jenk.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Hypodematiaceae/Leucostegia/immersa$Leucostegia/truncata,"Leucostegia truncata"
,,"2 candidates found.","Davallia membranulosa"
,,"10 candidates found.","Davallodes viscidulum (Kuhn) Alderw."
wfo-0000140484,"Davallia corniculata T.Moore",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/corniculata,"Davallia corniculata T.Moore"
wfo-1200105049,"Davallia denticulata Kuhn",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/denticulata,"Davallia denticulata (Burm.f.) Mett. ex Kuhn"
,,"2 candidates found.","Davallia divaricata Blume."
,,"3 candidates found.","Davallia trichomanoides"
wfo-0001255610,"Davallia trichomanoides Blume",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/trichomanoides,"Davallia trichomanoides Blume"
,,"1 candidates found.","Davallia solida (G.Forst.) Sw."
wfo-0001224954,"Davallia heterophylla Sm.",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/heterophylla,"Davallia heterophylla"
,,"2 candidates found.","Davallia angustata"
,,"3 candidates found.","Davallia pectinata"
,,"2 candidates found.","Davallia repens"
,,"2 candidates found.","Davallia repens"
wfo-0001347991,"Selliguea dareiformis (Hook.) X.C.Zhang & L.J.He",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Polypodiaceae/Crypsinoideae/Selliguea/dareiformis,"Selliguea dareiformis"
wfo-0001035860,"Araiostegiella faberiana (C.Chr.) M.Kato & Tsutsumi",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/perdurans$Araiostegiella/faberiana,"Araiostegiella faberiana"
wfo-0000140684,"Davallodes pulchra (D.Don) M.Kato & Tsutsumi",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/pulchra$Davallodes/pulchra,"Davallodes pulchra"
wfo-0000140684,"Davallodes pulchra (D.Don) M.Kato & Tsutsumi",Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Polypodiineae/Davalliaceae/Davallia/pulchra$Davallodes/pulchra,"Davallodes pulchra"
