score,wfo_id,wfo_full_name,wfo_check,specific_name
9,wfo-0000914022,"Scolopia austrocaledonica Schltr.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Xylosma/reticulata$Scolopia/austrocaledonica,"Scolopia sp. A"
8,wfo-0000914028,"Scolopia borbonia Warb.",unplaced,"Scolopia sp. A"
7,wfo-0000914029,"Scolopia braunii (Klotzsch) Sleumer",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/braunii,"Scolopia sp. A"
6,wfo-0000914030,"Scolopia brownii F.Muell.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/brownii,"Scolopia sp. A"
5,wfo-0000914031,"Scolopia burmanica N.Mukh.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/kermodei$Scolopia/burmanica,"Scolopia sp. A"
4,wfo-0001063088,"Scolopia buxifolia Gagnep.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/buxifolia,"Scolopia sp. A"
3,wfo-0001063029,"Scolopia calcicola Capuron & Sleumer",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/calcicola,"Scolopia sp. A"
2,wfo-0001063087,"Scolopia chinensis (Lour.) Clos",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/chinensis,"Scolopia sp. A"
1,wfo-0001253398,"Scolopia cinnamomifolia Gagnep.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Scolopia/saeva$Scolopia/cinnamomifolia,"Scolopia sp. A"
1,wfo-4000006885,"Casearia Jacq.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Casearia,"Casearia ﬂavovirens Blume"
1,wfo-4000006885,"Casearia Jacq.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Casearia,"Casearia ﬂexuosa Craib"
1,wfo-0000925695,"Flacourtia ramontchi L'Hér.",Code/Plantae/Pteridobiotina/Angiosperms/Malpighiales/Salicaceae/Flacourtia/indica$Flacourtia/ramontchi,"Flacourtia ramontchi L’Hér."
1,wfo-0001290598,"Viburnum punctatum Buch.-Ham. ex D.Don",Code/Plantae/Pteridobiotina/Angiosperms/Dipsacales/Viburnaceae/Viburnum/punctatum,"Viburnum punctatum Hamilt. ex D.Don"
1,wfo-0001290708,"Viburnum cylindricum Buch.-Ham. ex D.Don",Code/Plantae/Pteridobiotina/Angiosperms/Dipsacales/Viburnaceae/Viburnum/cylindricum,"Viburnum cylindricum Hamilt. ex D.Don"
1,wfo-0000359864,"Lonicera confusa DC.",Code/Plantae/Pteridobiotina/Angiosperms/Dipsacales/Caprifoliaceae/Lonicera/confusa,"Lonicera confusa DC"
10,wfo-0001230828,"Trema angustifolium (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/angustifolium,"Trema angustifolia (Planch.) Blume"
9,wfo-0001423309,"Trema andersonii (Planch.) Byng & Christenh.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/andersonii,"Trema angustifolia (Planch.) Blume"
8,wfo-0000457720,"Trema acuminatissima (Miq.) Boerl.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/angustifolium$Trema/acuminatissima,"Trema angustifolia (Planch.) Blume"
7,wfo-0001143172,"Trema affine (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/affine,"Trema angustifolia (Planch.) Blume"
